pid,name,cid,role,content
0,Zero shot,0,system,"You are a linguistic expert trained in metaphor identification. When the user provides a text, follow this protocol:
• Identify all metaphorical expressions
• Wrap each one in <Metaphor> and </Metaphor> tags.
• Reproduce the rest of the text exactly as written.
• Do not include any explanation, commentary, or extra content in this message."
0,Zero shot,1,user,Can you please identify and tag the metaphors in the following text?[#TEST_TEXT]
1,"Few shot, 4 shots, original ratio",0,system,"You are a linguistic expert trained in metaphor identification. When the user provides a text, follow this protocol:
• Identify all metaphorical expressions
• Wrap each one in <Metaphor> and </Metaphor> tags
• Reproduce the rest of the text exactly as written.
• Do not include any explanation, commentary, or extra content in this message."
1,"Few shot, 4 shots, original ratio",1,user,Can you please identify and tag the metaphors in the following text? the rest of the characters are the dullest people imaginable.
1,"Few shot, 4 shots, original ratio",2,assistant,the rest of the characters are the <Metaphor> dullest </Metaphor> people imaginable .
1,"Few shot, 4 shots, original ratio",3,user,"Can you please identify and tag the metaphors in the following text? 
the keen wisdom of an elderly bank robber , the naive ambitions of a sexy hospital nurse , and a partnership that blossoms between the two are the fine components that make up a modest , little caper adventure entitled `where the money is . '"
1,"Few shot, 4 shots, original ratio",4,assistant,"the <Metaphor> keen </Metaphor> wisdom of an elderly bank robber , the naive ambitions of a sexy hospital nurse , and a partnership that <Metaphor> blossoms </Metaphor> between the two are the fine <Metaphor> components </Metaphor> that make up a <Metaphor> modest </Metaphor> , <Metaphor> little </Metaphor> <Metaphor> caper </Metaphor> adventure entitled `where the money is . '"
1,"Few shot, 4 shots, original ratio",5,user,"Can you please identify and tag the metaphors in the following text?
and for those viewers out there who would only lay down money for this movie in hopes of seeing pam topless , hate to burst your bubble , but there are no full-fledged nude scenes in barb wire ."
1,"Few shot, 4 shots, original ratio",6,assistant,"and for those viewers out there who would only lay down money for this movie in hopes of seeing pam topless , hate to <Metaphor> burst your bubble </Metaphor> , but there are no <Metaphor> full-fledged </Metaphor> nude scenes in barb wire ."
1,"Few shot, 4 shots, original ratio",7,user,"Can you please identify and tag the metaphors in the following text?
while emotionally unconvincing , the actress is tremendously fun in her juvenile role , perking up the movie like an injection of anti-depressant ."
1,"Few shot, 4 shots, original ratio",8,assistant,"while emotionally unconvincing , the actress is tremendously fun in her juvenile role , <Metaphor> perking up the movie like an injection of anti-depressant </Metaphor> ."
1,"Few shot, 4 shots, original ratio",9,user,"Question: Can you please identify and tag the metaphors in the following text?
[#TEST_TEXT]"
2,"Few shot, 4 shots, even ratio",0,system,"You are a linguistic expert trained in metaphor identification. When the user provides a text, follow this protocol:
• Identify all metaphorical expressions
• Wrap each one in <Metaphor> and </Metaphor> tags.
• Reproduce the rest of the text exactly as written.
• Do not include any explanation, commentary, or extra content in this message."
2,"Few shot, 4 shots, even ratio",1,user,"Can you please identify and tag the metaphors in the following text? 
the rest of the characters are the dullest people imaginable ."
2,"Few shot, 4 shots, even ratio",2,assistant,the rest of the characters are the <Metaphor> dullest </Metaphor> people imaginable .
2,"Few shot, 4 shots, even ratio",3,user,"Can you please identify and tag the metaphors in the following text? 
while emotionally unconvincing , the actress is tremendously fun in her juvenile role , perking up the movie like an injection of anti-depressant ."
2,"Few shot, 4 shots, even ratio",4,assistant,"while emotionally unconvincing , the actress is tremendously fun in her juvenile role , <Metaphor> perking up the movie like an injection of anti-depressant </Metaphor> ."
2,"Few shot, 4 shots, even ratio",5,user,"Can you please identify and tag the metaphors in the following text? 
court tv junkies will probably pick up the many differences , some subtle and others not , between the american and the british judicial systems ."
2,"Few shot, 4 shots, even ratio",6,assistant,"court tv <Metaphor> junkies </Metaphor> will probably <Metaphor> pick up </Metaphor> the many differences , some subtle and others not , between the american and the british judicial systems ."
2,"Few shot, 4 shots, even ratio",7,user,"Can you please identify and tag the metaphors in the following text? 
the film , which wanders all over the place without getting anywhere , is remarkably * on * -kilter and , with perhaps the single exception of the always-likable modine ( who's not afraid to stand around in a very unattractive bathing suit surrounded by hunks ) , the entire cast is vague and uninteresting ."
2,"Few shot, 4 shots, even ratio",8,assistant,"the film , which <Metaphor> wanders all over the place without getting anywhere </Metaphor> , is remarkably * <Metaphor> on * -kilter </Metaphor> and , with perhaps the single exception of the always-likable modine ( who's not afraid to stand around in a very unattractive bathing suit surrounded by <Metaphor> hunks </Metaphor> ) , the entire cast is <Metaphor> vague </Metaphor> and uninteresting ."
2,"Few shot, 4 shots, even ratio",9,user,"Can you please identify and tag the metaphors in the following text?
[#TEST_TEXT]"
3,"Few shot, 8 shots, original ratio",0,system,"You are a linguistic expert trained in metaphor identification. When the user provides a text, follow this protocol:
• Identify all metaphorical expressions
• Wrap each one in <Metaphor> and </Metaphor> tags.
• Reproduce the rest of the text exactly as written.
• Do not include any explanation, commentary, or extra content in this message."
3,"Few shot, 8 shots, original ratio",1,user,"Can you please identify and tag the metaphors in the following text?
the rest of the characters are the dullest people imaginable ."
3,"Few shot, 8 shots, original ratio",2,assistant,the rest of the characters are the <Metaphor> dullest </Metaphor> people imaginable .
3,"Few shot, 8 shots, original ratio",3,user,"Can you please identify and tag the metaphors in the following text?
the keen wisdom of an elderly bank robber , the naive ambitions of a sexy hospital nurse , and a partnership that blossoms between the two are the fine components that make up a modest , little caper adventure entitled `where the money is . '"
3,"Few shot, 8 shots, original ratio",4,assistant,"the <Metaphor> keen </Metaphor> wisdom of an elderly bank robber , the naive ambitions of a sexy hospital nurse , and a partnership that <Metaphor> blossoms </Metaphor> between the two are the fine <Metaphor> components </Metaphor> that make up a <Metaphor> modest </Metaphor> , <Metaphor> little </Metaphor> <Metaphor> caper </Metaphor> adventure entitled `where the money is . '"
3,"Few shot, 8 shots, original ratio",5,user,"Can you please identify and tag the metaphors in the following text? 
and for those viewers out there who would only lay down money for this movie in hopes of seeing pam topless , hate to burst your bubble , but there are no full-fledged nude scenes in barb wire ."
3,"Few shot, 8 shots, original ratio",6,assistant,"and for those viewers out there who would only lay down money for this movie in hopes of seeing pam topless , hate to <Metaphor> burst your bubble </Metaphor> , but there are no <Metaphor> full-fledged </Metaphor> nude scenes in barb wire ."
3,"Few shot, 8 shots, original ratio",7,user,"Can you please identify and tag the metaphors in the following text? 
director anthony waller , who displayed a confident , edgy style in mute witness , stumbles with this material , never being able to make the comedy and horror elements gel ."
3,"Few shot, 8 shots, original ratio",8,assistant,"director anthony waller , who displayed a confident , <Metaphor> edgy </Metaphor> style in mute witness , <Metaphor> stumbles </Metaphor> with this <Metaphor> material </Metaphor> , never being able to make the comedy and horror <Metaphor> elements </Metaphor> <Metaphor> gel </Metaphor> ."
